XCOM: Silicon
Constituents (Atomic Number : Fraction by Weight)

    Z=14 : 1.000000

       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       2.848E-01 2.043E-03 1.075E-01 9.213E-04 0.000E+00 0.000E+00 1.105E-01 1.084E-01
       3.000E-01 1.844E-03 1.055E-01 7.882E-04 0.000E+00 0.000E+00 1.082E-01 1.063E-01
       3.054E-01 1.780E-03 1.049E-01 7.474E-04 0.000E+00 0.000E+00 1.074E-01 1.056E-01
       3.274E-01 1.551E-03 1.022E-01 6.078E-04 0.000E+00 0.000E+00 1.044E-01 1.028E-01
       3.511E-01 1.351E-03 9.961E-02 4.955E-04 0.000E+00 0.000E+00 1.015E-01 1.001E-01
       3.765E-01 1.177E-03 9.700E-02 4.051E-04 0.000E+00 0.000E+00 9.858E-02 9.741E-02
       4.000E-01 1.043E-03 9.475E-02 3.409E-04 0.000E+00 0.000E+00 9.614E-02 9.509E-02
       4.037E-01 1.024E-03 9.441E-02 3.322E-04 0.000E+00 0.000E+00 9.577E-02 9.474E-02
       4.329E-01 8.919E-04 9.185E-02 2.733E-04 0.000E+00 0.000E+00 9.301E-02 9.212E-02
       4.642E-01 7.764E-04 8.931E-02 2.257E-04 0.000E+00 0.000E+00 9.031E-02 8.953E-02
       4.977E-01 6.758E-04 8.679E-02 1.872E-04 0.000E+00 0.000E+00 8.765E-02 8.698E-02
       5.000E-01 6.696E-04 8.663E-02 1.849E-04 0.000E+00 0.000E+00 8.748E-02 8.681E-02
       5.337E-01 5.881E-04 8.430E-02 1.560E-04 0.000E+00 0.000E+00 8.505E-02 8.446E-02
       5.722E-01 5.118E-04 8.184E-02 1.304E-04 0.000E+00 0.000E+00 8.249E-02 8.197E-02
       6.000E-01 4.657E-04 8.019E-02 1.156E-04 0.000E+00 0.000E+00 8.078E-02 8.031E-02
       6.136E-01 4.454E-04 7.942E-02 1.093E-04 0.000E+00 0.000E+00 7.997E-02 7.953E-02
       6.579E-01 3.876E-04 7.703E-02 9.173E-05 0.000E+00 0.000E+00 7.751E-02 7.712E-02
       7.055E-01 3.373E-04 7.467E-02 7.743E-05 0.000E+00 0.000E+00 7.508E-02 7.475E-02
       7.565E-01 2.935E-04 7.234E-02 6.596E-05 0.000E+00 0.000E+00 7.270E-02 7.241E-02
       8.000E-01 2.625E-04 7.050E-02 5.854E-05 0.000E+00 0.000E+00 7.082E-02 7.056E-02
       8.111E-01 2.553E-04 7.005E-02 5.692E-05 0.000E+00 0.000E+00 7.036E-02 7.011E-02
       8.697E-01 2.221E-04 6.779E-02 4.962E-05 0.000E+00 0.000E+00 6.806E-02 6.784E-02
       9.326E-01 1.932E-04 6.557E-02 4.301E-05 0.000E+00 0.000E+00 6.581E-02 6.561E-02
       1.000E+00 1.680E-04 6.340E-02 3.639E-05 0.000E+00 0.000E+00 6.361E-02 6.344E-02
       1.022E+00 1.609E-04 6.274E-02 3.433E-05 0.000E+00 0.000E+00 6.293E-02 6.277E-02
       1.250E+00 1.076E-04 5.671E-02 2.326E-05 3.521E-05 0.000E+00 5.688E-02 5.677E-02
